"Name","Nepali","District","Districts","Population (2011)","Area (km2)","Area (KM2)","Density","Province"
"Lomanthang","लोमन्थाङ","Mustang","","1,899","727","","3","Gandaki"
"Lo-Ghekar Damodarkunda","लो-घेकर दामोदरकुण्ड","Mustang","","1,423","1,344","","1","Gandaki"
"Malika","मालिका","Myagdi","","19,458","147","","132","Gandaki"
"Mangala","मंगला","Myagdi","","16,286","89","","183","Gandaki"
"Raghuganga","रघुगंगा","Myagdi","","15,753","379","","42","Gandaki"
"Dhaulagiri","धवलागिरी","Myagdi","","14,104","1,037","","14","Gandaki"
"Annapurna","अन्नपुर्ण","Myagdi","","13,315","556.41","","24","Gandaki"
"Hupsekot","हुप्सेकोट","Nawalpur","","25,065","189.21","","132","Gandaki"
"Binayi Triveni","विनयी त्रिवेणी","Nawalpur","","25,036","267.13","","94","Gandaki"
"Bulingtar","बुलिङटार","Nawalpur","","19,122","147.68","","129","Gandaki"
"Baudikali","बौदीकाली","Nawalpur","","15,734","91.87","","171","Gandaki"
"Jaljala","जलजला","Parbat","","21,454","82.26","","261","Gandaki"
"Modi","मोदी","Parbat","","21,284","143.6","","148","Gandaki"
"Painyu","पैयूं","Parbat","","15,381","42.65","","361","Gandaki"
"Bihadi","विहादी","Parbat","","13,403","44.8","","299","Gandaki"
"Mahashila","महाशिला","Parbat","","9,857","49.38","","200","Gandaki"
"Kaligandaki","कालीगण्डकी","Syangja","","21,728","73.51","","296","Gandaki"
"Biruwa","विरुवा","Syangja","","18,413","95.79","","192","Gandaki"
"Harinas","हरीनास","Syangja","","17,343","87.48","","198","Gandaki"
"Aandhikhola","आँधीखोला","Syangja","","16,589","69.61","","238","Gandaki"
"Arjun Chaupari","अर्जुन चौपारी","Syangja","","16,176","57.22","","283","Gandaki"
"Phedikhola","फेदीखोला","Syangja","","12,341","56.73","","218","Gandaki"
"Rishing","ऋषिङ्ग","Tanahun","","25,870","215","","120","Gandaki"
"Myagde","म्याग्दे","Tanahun","","22,502","115","","196","Gandaki"
"Aanbu Khaireni","आँबुखैरेनी","Tanahun","","20,768","128","","162","Gandaki"
"Bandipur","बन्दिपुर","Tanahun","","20,013","102","","196","Gandaki"
"Ghiring","घिरिङ","Tanahun","","19,318","126","","153","Gandaki"
"Devghat","देवघाट","Tanahun","","16,131","159","","101","Gandaki"
"Malarani","मालारानी","Arghakhanchi","","28,044","101.06","","277","Province No. 5"
"Pandini","पाणिनी","Arghakhanchi","","26,424","151.42","","175","Province No. 5"
"Chhatradev","छत्रदेव","Arghakhanchi","","25,336","87.62","","289","Province No. 5"
"Raptisonari","राप्ती सोनारी","Banke","","59,946","1,041.73","","58","Province No. 5"
"Baijnath","वैजनाथ","Banke","","54,418","141.67","","384","Province No. 5"
"Khajura","खजुरा","Banke","","50,961","101.91","","500","Province No. 5"
"Janaki","जानकी","Banke","","37,830","63.32","","597","Province No. 5"
"Duduwa","डुडुवा","Banke","","37,460","91.1","","411","Province No. 5"
"Narainapur","नरैनापुर","Banke","","34,942","172.34","","203","Province No. 5"
"Badhaiyatal","बढैयाताल","Bardiya","","47,868","115.19","","416","Province No. 5"
"Geruwa","गेरुवा","Bardiya","","34,871","78.41","","445","Province No. 5"
"Rapti","राप्ती","Dang","","40,763","161.07","","253","Province No. 5"
"Gadhawa","गढवा","Dang","","38,592","358.57","","108","Province No. 5"
"Babai","बबई","Dang","","27,469","257.48","","107","Province No. 5"
"Shantinagar","शान्तिनगर","Dang","","25,203","116.02","","217","Province No. 5"
"Rajpur","राजपुर","Dang","","25,037","577.33","","43","Province No. 5"
"Banglachuli","वंगलाचुली","Dang","","24,245","245.14","","99","Province No. 5"
"Dangisharan","दंगीशरण","Dang","","21,484","110.7","","194","Province No. 5"
"Satyawati","सत्यवती","Gulmi","","23,807","115.92","","205","Province No. 5"
"Dhurkot","धुर्कोट","Gulmi","","22,454","86.32","","260","Province No. 5"
"Gulmi Durbar","गुल्मीदरवार","Gulmi","","22,037","79.99","","275","Province No. 5"
"Madane","मदाने","Gulmi","","21,899","94.52","","232","Province No. 5"
"Chandrakot","चन्द्रकोट","Gulmi","","21,827","105.73","","206","Province No. 5"
"Malika","मालिका","Gulmi","","21,729","92.49","","235","Province No. 5"
"Chhatrakot","छत्रकोट","Gulmi","","21,481","87.01","","247","Province No. 5"
"Isma","ईस्मा","Gulmi","","20,964","81.88","","256","Province No. 5"
"Kaligandaki","कालीगण्डकी","Gulmi","","18,876","101.04","","187","Province No. 5"
"Ruru","रुरु","Gulmi","","18,581","67.38","","276","Province No. 5"
"Mayadevi","मायादेवी","Kapilvastu","","48,218","88.53","","545","Province No. 5"
"Shuddhodhan","शुद्धोधन","Kapilvastu","","45,201","91.69","","493","Province No. 5"
"Yasodhara","यसोधरा","Kapilvastu","","38,952","67.56","","577","Province No. 5"
"Bijaynagar","विजयनगर","Kapilvastu","","36,937","173.19","","213","Province No. 5"
"Triveni Susta","त्रिवेणी सुस्ता","Parasi","","43,797","112.17","","390","Province No. 5"
"Pratappur","प्रतापपुर","Parasi","","41,315","87.55","","472","Province No. 5"
"Sarawal","सरावल","Parasi","","38,163","73.19","","521","Province No. 5"
"Palhi Nandan","पाल्हीनन्दन","Parasi","","35,429","44.67","","793","Province No. 5"
"Rainadevi Chhahara","रैनादेवी छहरा","Palpa","","26,469","175.88","","150","Province No. 5"
